@relation Monk
@attribute A1 Real
@attribute A2 Real
@attribute A3 Real
@attribute A4 Real
@attribute A5 Real
@attribute A6 Real
@attribute Class {1,2}
@data
0.000000,1.457509,-0.997682,1.224758,-1.477145,-0.997682,1
-1.221906,1.457509,0.997682,-1.224758,-0.492382,-0.997682,1
-1.221906,1.457509,0.997682,-1.224758,-1.477145,0.997682,1
0.000000,1.457509,0.997682,1.224758,-1.477145,-0.997682,1
0.000000,1.457509,0.997682,0.000000,1.477145,0.997682,1
1.221906,0.000000,-0.997682,-1.224758,1.477145,-0.997682,1
1.221906,-1.457509,0.997682,0.000000,1.477145,0.997682,1
1.221906,0.000000,0.997682,0.000000,1.477145,0.997682,1
0.000000,1.457509,0.997682,0.000000,-0.492382,0.997682,1
1.221906,1.457509,-0.997682,1.224758,1.477145,0.997682,1
0.000000,1.457509,-0.997682,0.000000,0.492382,-0.997682,1
1.221906,1.457509,-0.997682,-1.224758,1.477145,-0.997682,1
1.221906,0.000000,0.997682,-1.224758,1.477145,0.997682,1
1.221906,1.457509,0.997682,1.224758,0.492382,-0.997682,1
-1.221906,1.457509,0.997682,0.000000,-0.492382,-0.997682,1
0.000000,1.457509,0.997682,1.224758,0.492382,0.997682,1
-1.221906,1.457509,-0.997682,0.000000,-1.477145,-0.997682,1
0.000000,1.457509,0.997682,0.000000,-1.477145,0.997682,1
1.221906,1.457509,0.997682,0.000000,-0.492382,0.997682,1
1.221906,-1.457509,0.997682,-1.224758,1.477145,0.997682,1
0.000000,1.457509,-0.997682,0.000000,-0.492382,0.997682,1
1.221906,1.457509,0.997682,-1.224758,-1.477145,-0.997682,1
-1.221906,1.457509,0.997682,1.224758,-1.477145,0.997682,1
0.000000,1.457509,0.997682,-1.224758,-1.477145,0.997682,1
1.221906,0.000000,-0.997682,-1.224758,1.477145,0.997682,1
0.000000,1.457509,0.997682,1.224758,-0.492382,-0.997682,1
1.221906,1.457509,0.997682,1.224758,-0.492382,-0.997682,1
-1.221906,0.000000,-0.997682,0.000000,1.477145,0.997682,1
-1.221906,0.000000,0.997682,-1.224758,1.477145,-0.997682,1
0.000000,1.457509,-0.997682,0.000000,1.477145,-0.997682,1
0.000000,0.000000,-0.997682,0.000000,1.477145,-0.997682,1
0.000000,-1.457509,0.997682,-1.224758,1.477145,-0.997682,1
1.221906,1.457509,0.997682,0.000000,0.492382,-0.997682,1
0.000000,0.000000,-0.997682,1.224758,1.477145,0.997682,1
1.221906,1.457509,0.997682,1.224758,-0.492382,0.997682,1
1.221906,1.457509,0.997682,0.000000,-1.477145,-0.997682,1
1.221906,1.457509,0.997682,0.000000,0.492382,0.997682,1
0.000000,1.457509,0.997682,0.000000,-0.492382,-0.997682,1
0.000000,0.000000,-0.997682,-1.224758,1.477145,-0.997682,1
1.221906,-1.457509,-0.997682,1.224758,1.477145,0.997682,1
-1.221906,1.457509,-0.997682,-1.224758,-1.477145,-0.997682,1
0.000000,-1.457509,0.997682,0.000000,1.477145,-0.997682,1
0.000000,1.457509,-0.997682,0.000000,-1.477145,-0.997682,1
1.221906,-1.457509,0.997682,-1.224758,1.477145,-0.997682,1
1.221906,1.457509,-0.997682,0.000000,1.477145,0.997682,1
1.221906,1.457509,-0.997682,1.224758,0.492382,0.997682,1
1.221906,-1.457509,0.997682,1.224758,1.477145,0.997682,1
-1.221906,1.457509,-0.997682,-1.224758,-0.492382,-0.997682,1
1.221906,1.457509,-0.997682,0.000000,1.477145,-0.997682,1
-1.221906,1.457509,0.997682,1.224758,-0.492382,0.997682,1
0.000000,1.457509,-0.997682,1.224758,-0.492382,-0.997682,1
-1.221906,-1.457509,-0.997682,1.224758,0.492382,-0.997682,2
0.000000,-1.457509,0.997682,0.000000,-1.477145,0.997682,2
-1.221906,0.000000,0.997682,1.224758,-0.492382,-0.997682,2
1.221906,-1.457509,-0.997682,0.000000,0.492382,-0.997682,2
1.221906,0.000000,0.997682,0.000000,-1.477145,-0.997682,2
0.000000,0.000000,0.997682,1.224758,-1.477145,-0.997682,2
1.221906,0.000000,0.997682,-1.224758,0.492382,-0.997682,2
0.000000,-1.457509,0.997682,1.224758,0.492382,-0.997682,2
1.221906,-1.457509,0.997682,0.000000,0.492382,0.997682,2
0.000000,-1.457509,0.997682,-1.224758,-0.492382,0.997682,2
1.221906,0.000000,-0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,0.000000,-0.997682,1.224758,-0.492382,0.997682,2
1.221906,0.000000,-0.997682,1.224758,-0.492382,0.997682,2
1.221906,0.000000,0.997682,0.000000,0.492382,0.997682,2
1.221906,0.000000,-0.997682,0.000000,0.492382,-0.997682,2
1.221906,0.000000,-0.997682,0.000000,-0.492382,0.997682,2
1.221906,0.000000,0.997682,1.224758,0.492382,-0.997682,2
1.221906,-1.457509,-0.997682,0.000000,0.492382,0.997682,2
-1.221906,0.000000,-0.997682,1.224758,0.492382,-0.997682,2
-1.221906,0.000000,0.997682,-1.224758,0.492382,0.997682,2
0.000000,0.000000,-0.997682,-1.224758,0.492382,0.997682,2
0.000000,0.000000,-0.997682,-1.224758,-0.492382,-0.997682,2
0.000000,-1.457509,-0.997682,-1.224758,-1.477145,-0.997682,2
-1.221906,-1.457509,-0.997682,1.224758,-0.492382,0.997682,2
1.221906,0.000000,-0.997682,-1.224758,-1.477145,0.997682,2
0.000000,-1.457509,0.997682,-1.224758,-0.492382,-0.997682,2
0.000000,1.457509,0.997682,-1.224758,0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,0.000000,0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,0.000000,-0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,0.000000,-0.492382,-0.997682,2
1.221906,0.000000,-0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,0.000000,-0.997682,-1.224758,-0.492382,-0.997682,2
1.221906,0.000000,0.997682,1.224758,0.492382,0.997682,2
1.221906,0.000000,-0.997682,-1.224758,-1.477145,-0.997682,2
-1.221906,-1.457509,-0.997682,1.224758,0.492382,0.997682,2
-1.221906,-1.457509,0.997682,1.224758,-1.477145,-0.997682,2
0.000000,0.000000,0.997682,0.000000,-1.477145,0.997682,2
-1.221906,0.000000,0.997682,0.000000,0.492382,0.997682,2
0.000000,-1.457509,-0.997682,0.000000,-0.492382,0.997682,2
-1.221906,0.000000,-0.997682,1.224758,-1.477145,-0.997682,2
0.000000,0.000000,0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,-1.457509,-0.997682,1.224758,-0.492382,-0.997682,2
0.000000,-1.457509,-0.997682,-1.224758,-0.492382,-0.997682,2
1.221906,-1.457509,-0.997682,1.224758,-1.477145,0.997682,2
1.221906,0.000000,0.997682,-1.224758,-0.492382,-0.997682,2
0.000000,0.000000,0.997682,0.000000,-0.492382,-0.997682,2
1.221906,0.000000,0.997682,1.224758,-1.477145,-0.997682,2
0.000000,-1.457509,0.997682,1.224758,0.492382,0.997682,2
-1.221906,0.000000,0.997682,0.000000,-0.492382,0.997682,2
-1.221906,0.000000,0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,1.457509,0.997682,-1.224758,0.492382,0.997682,2
0.000000,-1.457509,0.997682,0.000000,-0.492382,-0.997682,2
1.221906,0.000000,0.997682,0.000000,0.492382,-0.997682,2
0.000000,-1.457509,-0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,0.000000,0.997682,-1.224758,0.492382,-0.997682,2
-1.221906,-1.457509,0.997682,1.224758,-1.477145,0.997682,2
0.000000,-1.457509,-0.997682,0.000000,0.492382,-0.997682,2
-1.221906,-1.457509,-0.997682,-1.224758,0.492382,0.997682,2
-1.221906,-1.457509,-0.997682,-1.224758,1.477145,0.997682,1
-1.221906,-1.457509,-0.997682,0.000000,-1.477145,0.997682,2
-1.221906,-1.457509,-0.997682,0.000000,1.477145,-0.997682,1
-1.221906,-1.457509,-0.997682,1.224758,1.477145,-0.997682,1
-1.221906,-1.457509,0.997682,-1.224758,-1.477145,0.997682,2
-1.221906,-1.457509,0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,-1.457509,0.997682,0.000000,-1.477145,-0.997682,2
-1.221906,-1.457509,0.997682,0.000000,0.492382,0.997682,2
-1.221906,-1.457509,0.997682,0.000000,1.477145,0.997682,1
-1.221906,-1.457509,0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,-1.457509,0.997682,1.224758,-0.492382,0.997682,2
-1.221906,-1.457509,0.997682,1.224758,0.492382,-0.997682,2
-1.221906,-1.457509,0.997682,1.224758,1.477145,-0.997682,1
-1.221906,0.000000,-0.997682,-1.224758,-0.492382,0.997682,2
-1.221906,0.000000,-0.997682,-1.224758,0.492382,0.997682,2
-1.221906,0.000000,-0.997682,0.000000,0.492382,0.997682,2
-1.221906,0.000000,-0.997682,1.224758,-0.492382,-0.997682,2
-1.221906,0.000000,0.997682,-1.224758,-1.477145,-0.997682,2
-1.221906,0.000000,0.997682,-1.224758,1.477145,0.997682,1
-1.221906,0.000000,0.997682,0.000000,-1.477145,0.997682,2
-1.221906,0.000000,0.997682,0.000000,-0.492382,-0.997682,2
-1.221906,0.000000,0.997682,0.000000,0.492382,-0.997682,2
-1.221906,0.000000,0.997682,0.000000,1.477145,-0.997682,1
-1.221906,0.000000,0.997682,1.224758,-1.477145,0.997682,2
-1.221906,0.000000,0.997682,1.224758,0.492382,-0.997682,2
-1.221906,0.000000,0.997682,1.224758,0.492382,0.997682,2
-1.221906,0.000000,0.997682,1.224758,1.477145,0.997682,1
