name,n_samples,n_features,n_classes,imbalance_ratio,minority_class_fraction,file_size_bytes
Adult,690,14,2,1.247557003257329,0.4449275362318841,94226
Banana,2000,2,2,1.0,0.5,44712
Blood,748,4,2,3.202247191011236,0.23796791443850268,11358
CTG,2126,21,3,9.403409090909092,0.08278457196613359,434514
Diabetes,766,8,2,1.8582089552238805,0.34986945169712796,23933
Ecoli,336,7,8,71.5,0.005952380952380952,12454
Faults,1941,27,7,12.236363636363636,0.02833590932509016,507722
German,1000,24,2,2.3333333333333335,0.3,234166
Glass,214,9,6,8.444444444444445,0.04205607476635514,19245
Haberman,306,3,2,2.7777777777777777,0.2647058823529412,3518
Heart,270,13,2,1.25,0.4444444444444444,34597
ILPD,583,10,2,2.4910179640718564,0.2864493996569468,57979
Ionosphere,351,34,2,1.7857142857142858,0.358974358974359,77575
Laryngeal1,213,16,2,1.6296296296296295,0.38028169014084506,33717
Laryngeal3,353,16,3,4.113207547169812,0.1501416430594901,55664
Lithuanian,2000,2,2,1.0,0.5,43267
Liver,345,6,2,1.3793103448275863,0.42028985507246375,7345
Magic,19020,10,2,1.8438995215311005,0.3516298633017876,1853820
Mammo,830,5,2,1.0595533498759304,0.4855421686746988,41451
Monk,432,6,2,1.1176470588235294,0.4722222222222222,25762
P2,2000,2,2,1.0,0.5,81112
Phoneme,5404,5,2,2.407313997477932,0.2934863064396743,275111
Segmentation,2310,19,7,1.0,0.14285714285714285,358754
Sonar,208,60,2,1.1443298969072164,0.46634615384615385,89284
Thyroid,692,16,2,12.056603773584905,0.07658959537572255,108664
Vehicle,846,18,4,1.0954773869346734,0.23522458628841608,162978
Vertebral,300,6,2,2.125,0.32,18158
WBC,569,30,2,1.6839622641509433,0.37258347978910367,121143
WDVG,5000,21,3,1.0297510625379478,0.3294,1008915
Weaning,302,17,2,1.0,0.5,50037
Wine,178,13,3,1.4791666666666667,0.2696629213483146,11617
