dataset,fold,mode,M,n_test,oracle_1,oracle_M,oracle_curve_json,majority_vote,mean_probs,double_fault_mean,mean_individual_acc
Wine,0,ga,100,60,1.0,0.08333333333333333,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9666666666666667, 0.9666666666666667, 0.9666666666666667, 0.9666666666666667, 0.95, 0.95, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9, 0.9, 0.8833333333333333, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.85, 0.8, 0.8, 0.8, 0.8, 0.8, 0.7833333333333333, 0.7666666666666667, 0.7666666666666667, 0.7666666666666667, 0.7666666666666667, 0.75, 0.75, 0.7333333333333333, 0.7166666666666667, 0.7166666666666667, 0.7, 0.7, 0.6333333333333333, 0.5666666666666667, 0.55, 0.5333333333333333, 0.5333333333333333, 0.5166666666666667, 0.48333333333333334, 0.48333333333333334, 0.48333333333333334, 0.43333333333333335, 0.4, 0.3, 0.15, 0.08333333333333333]",0.9833333333333333,0.9833333333333333,0.0414040404040404,0.8620000000000002
Wine,0,rf,100,60,1.0,0.05,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.95, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.9166666666666666, 0.9, 0.8833333333333333, 0.8833333333333333, 0.8666666666666667, 0.8666666666666667, 0.85, 0.85, 0.85, 0.85, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8166666666666667, 0.7833333333333333, 0.7666666666666667, 0.7666666666666667, 0.75, 0.7166666666666667, 0.65, 0.6333333333333333, 0.6333333333333333, 0.6166666666666667, 0.6, 0.5833333333333334, 0.5333333333333333, 0.5, 0.43333333333333335, 0.31666666666666665, 0.26666666666666666, 0.23333333333333334, 0.13333333333333333, 0.08333333333333333, 0.05]",0.9833333333333333,0.9833333333333333,0.03411447811447812,0.8676666666666668
Wine,1,ga,100,59,1.0,0.1694915254237288,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9661016949152542, 0.9491525423728814, 0.9491525423728814, 0.9322033898305084, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.8983050847457628, 0.8983050847457628, 0.8983050847457628, 0.8983050847457628, 0.8983050847457628, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.8813559322033898, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.8305084745762712, 0.8135593220338984, 0.7966101694915254, 0.7796610169491526, 0.7627118644067796, 0.7627118644067796, 0.7627118644067796, 0.7288135593220338, 0.711864406779661, 0.6949152542372882, 0.6271186440677966, 0.6101694915254238, 0.5932203389830508, 0.576271186440678, 0.576271186440678, 0.559322033898305, 0.559322033898305, 0.5084745762711864, 0.4745762711864407, 0.4745762711864407, 0.4406779661016949, 0.3728813559322034, 0.3389830508474576, 0.2542372881355932, 0.1694915254237288]",0.9661016949152542,0.9661016949152542,0.04175997260743024,0.8669491525423727
Wine,1,rf,100,59,1.0,0.1016949152542373,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9322033898305084, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.8983050847457628, 0.8983050847457628, 0.8813559322033898, 0.8813559322033898, 0.864406779661017, 0.864406779661017, 0.847457627118644, 0.8305084745762712, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7627118644067796, 0.711864406779661, 0.711864406779661, 0.6949152542372882, 0.6440677966101694, 0.576271186440678, 0.559322033898305, 0.559322033898305, 0.5423728813559322, 0.4915254237288136, 0.4745762711864407, 0.4576271186440678, 0.3898305084745763, 0.3220338983050847, 0.3050847457627119, 0.288135593220339, 0.22033898305084745, 0.2033898305084746, 0.13559322033898305, 0.1016949152542373]",1.0,1.0,0.03162472179421332,0.865084745762712
Wine,2,ga,100,59,1.0,0.3050847457627119,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9830508474576272, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9491525423728814, 0.9322033898305084, 0.9152542372881356, 0.8983050847457628, 0.8983050847457628, 0.8983050847457628, 0.8983050847457628, 0.864406779661017, 0.864406779661017, 0.847457627118644, 0.847457627118644, 0.847457627118644, 0.847457627118644, 0.847457627118644, 0.8135593220338984, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7966101694915254, 0.7796610169491526, 0.7457627118644068, 0.7457627118644068, 0.7288135593220338, 0.711864406779661, 0.6949152542372882, 0.6610169491525424, 0.6440677966101694, 0.6271186440677966, 0.6271186440677966, 0.6271186440677966, 0.6271186440677966, 0.5932203389830508, 0.5423728813559322, 0.5254237288135594, 0.5084745762711864, 0.5084745762711864, 0.4576271186440678, 0.4576271186440678, 0.4067796610169492, 0.3389830508474576, 0.3050847457627119]",0.9491525423728814,0.9491525423728814,0.05206300291046053,0.8615254237288137
Wine,2,rf,100,59,1.0,0.0847457627118644,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9830508474576272, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9661016949152542, 0.9491525423728814, 0.9491525423728814, 0.9322033898305084, 0.9322033898305084, 0.9322033898305084, 0.9322033898305084, 0.9322033898305084, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.9152542372881356, 0.8983050847457628, 0.864406779661017, 0.864406779661017, 0.864406779661017, 0.847457627118644, 0.8135593220338984, 0.7966101694915254, 0.7966101694915254, 0.7627118644067796, 0.7627118644067796, 0.7288135593220338, 0.7288135593220338, 0.711864406779661, 0.711864406779661, 0.6949152542372882, 0.6949152542372882, 0.6949152542372882, 0.6440677966101694, 0.6440677966101694, 0.6271186440677966, 0.6101694915254238, 0.6101694915254238, 0.6101694915254238, 0.559322033898305, 0.5423728813559322, 0.4915254237288136, 0.4915254237288136, 0.4067796610169492, 0.3898305084745763, 0.3389830508474576, 0.1864406779661017, 0.0847457627118644]",0.9830508474576272,0.9830508474576272,0.03529875021400445,0.8725423728813558
Banana,0,ga,100,667,1.0,0.7031484257871065,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9985007496251874, 0.9985007496251874, 0.9985007496251874, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9955022488755623, 0.9940029985007496, 0.992503748125937, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9880059970014993, 0.9880059970014993, 0.9880059970014993, 0.9880059970014993, 0.9880059970014993, 0.9880059970014993, 0.9880059970014993, 0.9865067466266867, 0.9865067466266867, 0.9865067466266867, 0.9865067466266867, 0.9865067466266867, 0.9865067466266867, 0.9865067466266867, 0.9850074962518741, 0.9835082458770614, 0.9820089955022488, 0.9820089955022488, 0.9820089955022488, 0.9820089955022488, 0.9790104947526237, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9760119940029985, 0.9760119940029985, 0.9760119940029985, 0.9760119940029985, 0.9760119940029985, 0.974512743628186, 0.974512743628186, 0.974512743628186, 0.974512743628186, 0.974512743628186, 0.9730134932533733, 0.9700149925037481, 0.9700149925037481, 0.967016491754123, 0.967016491754123, 0.967016491754123, 0.967016491754123, 0.9655172413793104, 0.9640179910044977, 0.9625187406296851, 0.9610194902548725, 0.95952023988006, 0.95952023988006, 0.95952023988006, 0.9550224887556222, 0.9505247376311844, 0.9505247376311844, 0.9505247376311844, 0.9475262368815592, 0.9445277361319341, 0.9415292353823088, 0.9355322338830585, 0.9325337331334332, 0.9325337331334332, 0.9265367316341829, 0.9265367316341829, 0.9205397301349325, 0.9175412293853074, 0.9145427286356822, 0.9070464767616192, 0.9025487256371814, 0.8995502248875562, 0.896551724137931, 0.8935532233883059, 0.8845577211394303, 0.8740629685157422, 0.8680659670164917, 0.8515742128935532, 0.8470764617691154, 0.8200899550224887, 0.7931034482758621, 0.7661169415292354, 0.7031484257871065]",0.9760119940029985,0.9760119940029985,0.018122151045689275,0.9575412293853074
Banana,0,rf,100,667,1.0,0.5052473763118441,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9985007496251874, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9970014992503748, 0.9955022488755623, 0.9955022488755623, 0.9955022488755623, 0.9940029985007496, 0.9940029985007496, 0.9940029985007496, 0.992503748125937, 0.9910044977511244, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9850074962518741, 0.9850074962518741, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9820089955022488, 0.9820089955022488, 0.9820089955022488, 0.9820089955022488, 0.9820089955022488, 0.9820089955022488, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9790104947526237, 0.9775112443778111, 0.9760119940029985, 0.9760119940029985, 0.9730134932533733, 0.9730134932533733, 0.9715142428785607, 0.9715142428785607, 0.9715142428785607, 0.9700149925037481, 0.9700149925037481, 0.9685157421289355, 0.9685157421289355, 0.9685157421289355, 0.967016491754123, 0.9655172413793104, 0.9625187406296851, 0.9625187406296851, 0.9625187406296851, 0.9625187406296851, 0.9625187406296851, 0.9610194902548725, 0.9610194902548725, 0.95952023988006, 0.9535232383808095, 0.9535232383808095, 0.9505247376311844, 0.9475262368815592, 0.9430284857571214, 0.9415292353823088, 0.9355322338830585, 0.9310344827586207, 0.9280359820089955, 0.9220389805097451, 0.9190404797601199, 0.9160419790104948, 0.9130434782608695, 0.9085457271364318, 0.9025487256371814, 0.9025487256371814, 0.896551724137931, 0.8845577211394303, 0.8785607196401799, 0.8665667166416792, 0.8545727136431784, 0.8260869565217391, 0.7946026986506747, 0.7511244377811095, 0.6671664167916042, 0.5052473763118441]",0.9790104947526237,0.9790104947526237,0.017096300334681146,0.9553373313343326
Banana,1,ga,100,667,0.992503748125937,0.7781109445277361,"[0.992503748125937, 0.992503748125937, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9910044977511244, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9865067466266867, 0.9865067466266867, 0.9850074962518741, 0.9850074962518741, 0.9850074962518741, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9835082458770614, 0.9820089955022488, 0.9820089955022488, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9790104947526237, 0.9790104947526237, 0.9790104947526237, 0.9790104947526237, 0.9790104947526237, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9760119940029985, 0.974512743628186, 0.974512743628186, 0.974512743628186, 0.9730134932533733, 0.9730134932533733, 0.9730134932533733, 0.9715142428785607, 0.9715142428785607, 0.9700149925037481, 0.9685157421289355, 0.9655172413793104, 0.9655172413793104, 0.9625187406296851, 0.95952023988006, 0.95952023988006, 0.9565217391304348, 0.9565217391304348, 0.9550224887556222, 0.9550224887556222, 0.9535232383808095, 0.952023988005997, 0.952023988005997, 0.952023988005997, 0.9505247376311844, 0.9505247376311844, 0.9490254872563718, 0.9490254872563718, 0.9445277361319341, 0.9415292353823088, 0.9415292353823088, 0.9400299850074962, 0.9400299850074962, 0.9400299850074962, 0.9370314842578711, 0.9340329835082459, 0.9325337331334332, 0.9325337331334332, 0.9310344827586207, 0.9280359820089955, 0.9220389805097451, 0.9205397301349325, 0.9160419790104948, 0.9115442278860569, 0.9085457271364318, 0.9055472263868066, 0.8980509745127436, 0.8950524737631185, 0.8785607196401799, 0.8665667166416792, 0.8605697151424287, 0.8440779610194903, 0.7781109445277361]",0.974512743628186,0.974512743628186,0.022719246437387368,0.9595802098950524
Banana,1,rf,100,667,0.9970014992503748,0.5367316341829086,"[0.9970014992503748, 0.9970014992503748, 0.9940029985007496, 0.992503748125937, 0.992503748125937, 0.992503748125937, 0.992503748125937, 0.992503748125937, 0.9910044977511244, 0.9910044977511244, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9895052473763118, 0.9880059970014993, 0.9865067466266867, 0.9850074962518741, 0.9820089955022488, 0.9820089955022488, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9805097451274363, 0.9790104947526237, 0.9790104947526237, 0.9790104947526237, 0.9790104947526237, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.9775112443778111, 0.974512743628186, 0.9715142428785607, 0.9700149925037481, 0.9685157421289355, 0.967016491754123, 0.967016491754123, 0.9655172413793104, 0.9655172413793104, 0.9640179910044977, 0.9625187406296851, 0.9625187406296851, 0.95952023988006, 0.95952023988006, 0.9580209895052474, 0.9580209895052474, 0.9550224887556222, 0.9550224887556222, 0.9550224887556222, 0.9550224887556222, 0.9550224887556222, 0.9535232383808095, 0.952023988005997, 0.952023988005997, 0.9475262368815592, 0.9445277361319341, 0.9400299850074962, 0.9400299850074962, 0.9385307346326837, 0.9370314842578711, 0.9325337331334332, 0.9295352323838081, 0.9250374812593704, 0.9205397301349325, 0.9175412293853074, 0.9160419790104948, 0.9130434782608695, 0.9085457271364318, 0.9070464767616192, 0.8995502248875562, 0.8950524737631185, 0.8785607196401799, 0.863568215892054, 0.8470764617691154, 0.8170914542728636, 0.7766116941529235, 0.6896551724137931, 0.5367316341829086]",0.9775112443778111,0.9775112443778111,0.020608483636969394,0.9547526236881559
