dataset,fold,mode,M,n_test,oracle_M,oracle_curve_json,majority_vote,mean_probs,double_fault_mean,mean_individual_acc,oracle_1,oracle_2,oracle_3,oracle_4,oracle_5
Adult,0,ga,100,69,0.028985507246376812,"[1.0, 1.0, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9130434782608695, 0.9130434782608695, 0.8985507246376812, 0.8985507246376812, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8695652173913043, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.8405797101449275, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.7971014492753623, 0.782608695652174, 0.7681159420289855, 0.7536231884057971, 0.7391304347826086, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7101449275362319, 0.7101449275362319, 0.7101449275362319, 0.7101449275362319, 0.6956521739130435, 0.6956521739130435, 0.6956521739130435, 0.6956521739130435, 0.6956521739130435, 0.6956521739130435, 0.6956521739130435, 0.6956521739130435, 0.6811594202898551, 0.6521739130434783, 0.6521739130434783, 0.6521739130434783, 0.6376811594202898, 0.6376811594202898, 0.6231884057971014, 0.6231884057971014, 0.6231884057971014, 0.6086956521739131, 0.6086956521739131, 0.5942028985507246, 0.5217391304347826, 0.5217391304347826, 0.5072463768115942, 0.5072463768115942, 0.5072463768115942, 0.4927536231884058, 0.4927536231884058, 0.4782608695652174, 0.4492753623188406, 0.37681159420289856, 0.36231884057971014, 0.2753623188405797, 0.14492753623188406, 0.11594202898550725, 0.10144927536231885, 0.08695652173913043, 0.028985507246376812]",0.8115942028985508,,0.12153418240374762,0.755072463768116,1.0,1.0,0.9855072463768116,0.9855072463768116,0.9855072463768116
Adult,0,bagging,100,69,0.15942028985507245,"[0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9420289855072463, 0.927536231884058, 0.927536231884058, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8260869565217391, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.782608695652174, 0.7681159420289855, 0.7681159420289855, 0.7536231884057971, 0.7391304347826086, 0.7391304347826086, 0.7391304347826086, 0.7391304347826086, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7101449275362319, 0.7101449275362319, 0.6956521739130435, 0.6956521739130435, 0.6811594202898551, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6376811594202898, 0.6231884057971014, 0.6086956521739131, 0.5942028985507246, 0.5942028985507246, 0.5797101449275363, 0.5362318840579711, 0.5217391304347826, 0.4927536231884058, 0.463768115942029, 0.463768115942029, 0.4492753623188406, 0.43478260869565216, 0.42028985507246375, 0.391304347826087, 0.37681159420289856, 0.3333333333333333, 0.2463768115942029, 0.15942028985507245]",0.8405797101449275,0.8405797101449275,0.11599765773678818,0.7843478260869564,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9710144927536232
Adult,0,rf,100,69,0.043478260869565216,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.927536231884058, 0.927536231884058, 0.9130434782608695, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8695652173913043, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.7681159420289855, 0.7536231884057971, 0.7536231884057971, 0.7536231884057971, 0.7391304347826086, 0.7101449275362319, 0.6811594202898551, 0.6666666666666666, 0.6666666666666666, 0.6521739130434783, 0.6376811594202898, 0.6231884057971014, 0.6086956521739131, 0.5942028985507246, 0.5942028985507246, 0.5652173913043478, 0.5072463768115942, 0.5072463768115942, 0.4492753623188406, 0.4057971014492754, 0.37681159420289856, 0.34782608695652173, 0.3188405797101449, 0.2898550724637681, 0.2753623188405797, 0.2318840579710145, 0.21739130434782608, 0.2028985507246377, 0.18840579710144928, 0.14492753623188406, 0.11594202898550725, 0.10144927536231885, 0.043478260869565216]",0.8405797101449275,0.8405797101449275,0.09926511491728884,0.7675362318840578,1.0,1.0,1.0,1.0,1.0
Adult,1,ga,100,69,0.10144927536231885,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.927536231884058, 0.9130434782608695, 0.8985507246376812, 0.8695652173913043, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.7681159420289855, 0.7681159420289855, 0.7681159420289855, 0.7681159420289855, 0.7536231884057971, 0.7536231884057971, 0.7536231884057971, 0.7391304347826086, 0.7391304347826086, 0.7246376811594203, 0.7246376811594203, 0.7101449275362319, 0.6956521739130435, 0.6956521739130435, 0.6666666666666666, 0.6521739130434783, 0.6231884057971014, 0.5942028985507246, 0.5797101449275363, 0.5507246376811594, 0.5362318840579711, 0.5072463768115942, 0.4927536231884058, 0.4782608695652174, 0.463768115942029, 0.4492753623188406, 0.42028985507246375, 0.34782608695652173, 0.18840579710144928, 0.10144927536231885]",0.8405797101449275,,0.08177426438296004,0.8231884057971017,1.0,1.0,1.0,1.0,1.0
Adult,1,bagging,100,69,0.18840579710144928,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9420289855072463, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8695652173913043, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.7971014492753623, 0.7681159420289855, 0.7391304347826086, 0.7246376811594203, 0.7246376811594203, 0.7101449275362319, 0.7101449275362319, 0.6956521739130435, 0.6811594202898551, 0.6666666666666666, 0.6521739130434783, 0.6231884057971014, 0.6086956521739131, 0.5942028985507246, 0.5942028985507246, 0.5942028985507246, 0.5797101449275363, 0.5507246376811594, 0.5362318840579711, 0.5362318840579711, 0.5217391304347826, 0.4927536231884058, 0.4927536231884058, 0.43478260869565216, 0.42028985507246375, 0.42028985507246375, 0.391304347826087, 0.391304347826087, 0.37681159420289856, 0.37681159420289856, 0.3333333333333333, 0.3188405797101449, 0.2608695652173913, 0.21739130434782608, 0.18840579710144928]",0.8985507246376812,0.8985507246376812,0.08307714829453959,0.7988405797101449,1.0,1.0,1.0,1.0,1.0
Adult,1,rf,100,69,0.028985507246376812,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.8985507246376812, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8695652173913043, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.7681159420289855, 0.7536231884057971, 0.7391304347826086, 0.7246376811594203, 0.7101449275362319, 0.7101449275362319, 0.7101449275362319, 0.6956521739130435, 0.6666666666666666, 0.6666666666666666, 0.6521739130434783, 0.6231884057971014, 0.6231884057971014, 0.5797101449275363, 0.5652173913043478, 0.5507246376811594, 0.5217391304347826, 0.4782608695652174, 0.463768115942029, 0.463768115942029, 0.4492753623188406, 0.42028985507246375, 0.4057971014492754, 0.391304347826087, 0.36231884057971014, 0.36231884057971014, 0.34782608695652173, 0.34782608695652173, 0.2898550724637681, 0.2608695652173913, 0.2028985507246377, 0.18840579710144928, 0.14492753623188406, 0.14492753623188406, 0.08695652173913043, 0.043478260869565216, 0.028985507246376812]",0.8840579710144928,0.8840579710144928,0.09335382813643683,0.7650724637681159,1.0,1.0,1.0,1.0,1.0
Adult,2,ga,100,69,0.14492753623188406,"[1.0, 1.0, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.8985507246376812, 0.8840579710144928, 0.8840579710144928, 0.855072463768116, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.7681159420289855, 0.7536231884057971, 0.7536231884057971, 0.7536231884057971, 0.7391304347826086, 0.7391304347826086, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7246376811594203, 0.7101449275362319, 0.7101449275362319, 0.7101449275362319, 0.6956521739130435, 0.6666666666666666, 0.6376811594202898, 0.6231884057971014, 0.5797101449275363, 0.5217391304347826, 0.463768115942029, 0.463768115942029, 0.36231884057971014, 0.30434782608695654, 0.2463768115942029, 0.14492753623188406]",0.9130434782608695,,0.0766388522910262,0.8360869565217389,1.0,1.0,0.9855072463768116,0.9855072463768116,0.9855072463768116
Adult,2,bagging,100,69,0.13043478260869565,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.927536231884058, 0.9130434782608695, 0.9130434782608695, 0.9130434782608695, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.855072463768116, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8260869565217391, 0.8115942028985508, 0.8115942028985508, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.7971014492753623, 0.782608695652174, 0.782608695652174, 0.782608695652174, 0.7681159420289855, 0.7101449275362319, 0.6956521739130435, 0.6666666666666666, 0.6376811594202898, 0.5942028985507246, 0.5942028985507246, 0.5797101449275363, 0.5797101449275363, 0.5217391304347826, 0.4927536231884058, 0.4492753623188406, 0.36231884057971014, 0.34782608695652173, 0.2463768115942029, 0.15942028985507245, 0.13043478260869565]",0.8840579710144928,0.8840579710144928,0.08122383252818037,0.8339130434782607,1.0,1.0,1.0,1.0,1.0
Adult,2,rf,100,69,0.028985507246376812,"[1.0, 1.0, 1.0, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9565217391304348, 0.9565217391304348, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.927536231884058, 0.9130434782608695, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8840579710144928, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.855072463768116, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8260869565217391, 0.8260869565217391, 0.7971014492753623, 0.782608695652174, 0.7536231884057971, 0.7536231884057971, 0.7536231884057971, 0.7391304347826086, 0.7246376811594203, 0.7101449275362319, 0.7101449275362319, 0.6956521739130435, 0.6811594202898551, 0.6666666666666666, 0.6376811594202898, 0.6231884057971014, 0.6086956521739131, 0.5652173913043478, 0.5362318840579711, 0.5217391304347826, 0.4492753623188406, 0.42028985507246375, 0.391304347826087, 0.36231884057971014, 0.3188405797101449, 0.2608695652173913, 0.2028985507246377, 0.14492753623188406, 0.08695652173913043, 0.043478260869565216, 0.028985507246376812]",0.8695652173913043,0.8695652173913043,0.0884028692724345,0.8005797101449275,1.0,1.0,1.0,0.9855072463768116,0.9855072463768116
Adult,3,ga,100,69,0.11594202898550725,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9855072463768116, 0.9855072463768116, 0.9855072463768116, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9710144927536232, 0.9565217391304348, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.9420289855072463, 0.927536231884058, 0.927536231884058, 0.9130434782608695, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8840579710144928, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.855072463768116, 0.8405797101449275, 0.8405797101449275, 0.8405797101449275, 0.8260869565217391, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.8115942028985508, 0.782608695652174, 0.7681159420289855, 0.7681159420289855, 0.7536231884057971, 0.7391304347826086, 0.7391304347826086, 0.7101449275362319, 0.6811594202898551, 0.6811594202898551, 0.6521739130434783, 0.5797101449275363, 0.5072463768115942, 0.43478260869565216, 0.30434782608695654, 0.11594202898550725]",0.8840579710144928,,0.06760649978041283,0.8665217391304348,1.0,1.0,1.0,1.0,1.0
