dataset,mode,n_folds,majority_vote_mean,majority_vote_std,mean_probs_mean,mean_probs_std,mean_individual_acc_mean,oracle_1_mean,oracle_1_std,oracle_2_mean,oracle_2_std,oracle_3_mean,oracle_3_std,oracle_4_mean,oracle_4_std,oracle_5_mean,oracle_5_std,oracle_M_mean,oracle_M_std
Adult,bagging,10,0.8768115942028984,0.043343860978083,0.8768115942028984,0.043343860978083,0.8151449275362317,0.9913043478260871,0.010133418822900007,0.9884057971014494,0.013317921499604065,0.9869565217391306,0.017350999996200947,0.9855072463768118,0.01673479041129351,0.984057971014493,0.01735099999620095,0.19999999999999998,0.053271685998416314
Adult,ga,10,0.8666666666666668,0.04144465814401394,0.8623188405797102,0.04745623841639733,0.8124782608695652,0.9956521739130435,0.009781863155225404,0.9927536231884059,0.01565396303963251,0.9884057971014493,0.019080596771141555,0.9884057971014493,0.019080596771141555,0.9869565217391305,0.018647593300114777,0.10579710144927537,0.04928956885288776
Adult,rf,10,0.8695652173913043,0.047333135126245006,0.8695652173913043,0.047333135126245006,0.7845942028985506,0.9971014492753623,0.006110681468924384,0.9971014492753623,0.006110681468924384,0.9956521739130435,0.007000665094777484,0.9927536231884059,0.01024792436502242,0.9898550724637684,0.013749033305079896,0.03478260869565218,0.018332044406773215
Banana,bagging,10,0.9695,0.011413929112175964,0.9695,0.011413929112175964,0.9592749999999999,0.9959999999999999,0.005163977794943228,0.9955,0.005502524673073064,0.9955,0.005502524673073064,0.9945,0.0064334196885396,0.994,0.006146362971528596,0.7795,0.03954252282178151
Banana,ga,10,0.8469999999999999,0.037947331922020544,0.8434999999999999,0.03628972918670576,0.7838649999999999,0.9800000000000001,0.011055415967851343,0.97,0.010540925533894607,0.9664999999999999,0.010287532908007319,0.9644999999999999,0.0095597535998,0.9629999999999999,0.010327955589886454,0.1165,0.05720576893985431
Banana,rf,10,0.9729999999999999,0.010593499054713811,0.9729999999999999,0.010593499054713811,0.95502,0.9984999999999999,0.003374742788552768,0.998,0.004830458915396484,0.9974999999999999,0.0048591265790377544,0.9974999999999999,0.0048591265790377544,0.9974999999999999,0.0048591265790377544,0.576,0.047714428286071565
Blood,bagging,10,0.7339279279279279,0.03713441679704695,0.7259279279279279,0.03406463971566757,0.7041897297297298,0.9612432432432433,0.014647379181548474,0.95590990990991,0.020849761398832045,0.9465585585585586,0.02259267552872178,0.9398918918918919,0.020968824084229586,0.9332072072072071,0.025036625139266067,0.21118918918918922,0.04369504141240078
Blood,ga,10,0.762054054054054,0.004330326165275621,0.7607207207207207,0.006528061623601179,0.6050439639639639,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Blood,rf,10,0.737945945945946,0.024002873572585917,0.7312792792792793,0.025580255757512577,0.7064270270270271,0.9625765765765765,0.020695907151537903,0.9558738738738739,0.020006843511679057,0.9505405405405405,0.017882019278043157,0.9478738738738738,0.0159940402286711,0.9452072072072074,0.0159706577433618,0.21652252252252255,0.03153445431899186
CTG,bagging,10,0.9392971033749667,0.021505397116965464,0.9392971033749667,0.021505397116965464,0.9092315971299495,0.996706971388077,0.003873816278381245,0.993883426344229,0.006668709225384844,0.9934139427761538,0.007738659936569877,0.9924749756400036,0.008047188304351667,0.9920032775267961,0.008598118311614472,0.5427628665072195,0.03181611643157606
CTG,ga,10,0.8903822304898572,0.020799973476192102,0.8922668083975551,0.019738464918545053,0.8617108468420586,0.9971786695012843,0.003961377716638516,0.9957635751616618,0.004679839758039565,0.9948246080255115,0.004677370616278897,0.9924705465497388,0.005063323902982989,0.9896470015058908,0.00619381744704736,0.5893303215519532,0.027358617201093977
CTG,rf,10,0.9430706882806271,0.012501076433227289,0.9430706882806271,0.012501076433227289,0.8881573434316591,1.0,0.0,1.0,0.0,0.9985915492957746,0.0031687725714110485,0.9971786695012843,0.003961377716638516,0.9971786695012843,0.003961377716638516,0.3372397909469395,0.023836714310104
Diabetes,bagging,10,0.7715481886534519,0.06330299244957191,0.7715481886534519,0.06330299244957191,0.6932441900205057,0.9973855092276145,0.005511977667284345,0.9960868079289131,0.006301009484407501,0.9960868079289131,0.006301009484407501,0.994788106630212,0.0067287062310995216,0.9921736158578263,0.006736200096842803,0.0679084073820916,0.023762491689360832
Diabetes,ga,10,0.6656015037593985,0.051968811556529514,0.6630895420369105,0.040195465653178164,0.5660218728639781,1.0,0.0,1.0,0.0,0.9987012987012986,0.00410685410411478,0.9987012987012986,0.00410685410411478,0.9973855092276145,0.005511977667284345,0.0,0.0
Diabetes,rf,10,0.7663533834586466,0.055345703182937994,0.7663533834586466,0.055345703182937994,0.6782342788790157,1.0,0.0,1.0,0.0,0.9987012987012986,0.00410685410411478,0.9987012987012986,0.00410685410411478,0.9973855092276145,0.005511977667284345,0.027341079972658923,0.017763484613692513
Faults,bagging,10,0.7712424002114724,0.02103457244518699,0.7712424002114724,0.02103457244518699,0.6725319323288396,0.9958762886597938,0.005852022806160255,0.9922706846418187,0.005010926722759863,0.9902088289717156,0.005675113489148743,0.987116045466561,0.005571730287711575,0.9860851176315094,0.006455877656819472,0.15815490351572822,0.022309354332036402
Faults,ga,10,0.6975680676711604,0.02332335956362569,0.6929262490087232,0.021292712686012117,0.5850111287338091,0.9896933650541898,0.009412652806167095,0.9814538725878933,0.009154056170649435,0.9747581284694687,0.009226205731540508,0.9670261697065821,0.012201184147587408,0.9623896378535554,0.01332282265257089,0.09016653449643139,0.036322631514669385
Faults,rf,10,0.7686756542426646,0.024834080271503908,0.7686756542426646,0.024834080271503908,0.6380234998678297,0.9974253238170764,0.003642812459417984,0.9948480042294475,0.004208753563778558,0.9933042558815754,0.0054567091627032655,0.9917578641289981,0.004977449871395469,0.989696008458895,0.005952088110319468,0.09994448850118952,0.018983402507383486
German,bagging,10,0.752,0.05006662228138292,0.752,0.05006662228138292,0.67036,0.998,0.004216370213557844,0.9949999999999999,0.007071067811865481,0.993,0.006749485577105536,0.991,0.00994428926011754,0.99,0.012472191289246483,0.042,0.01813529401164726
German,ga,10,0.7539999999999999,0.027968235951204064,0.7630000000000001,0.022135943621178676,0.6835199999999999,0.998,0.004216370213557844,0.998,0.004216370213557844,0.998,0.004216370213557844,0.9949999999999999,0.007071067811865481,0.99,0.012472191289246483,0.020999999999999998,0.01791957340762082
German,rf,10,0.7550000000000001,0.025927248643506765,0.7550000000000001,0.025927248643506765,0.65857,1.0,0.0,1.0,0.0,0.999,0.003162277660168382,0.998,0.004216370213557844,0.998,0.004216370213557844,0.004,0.008432740427115677
Haberman,bagging,10,0.6698924731182796,0.05821035713451411,0.6665591397849463,0.05935866955587304,0.6506623655913978,0.99,0.031622776601683784,0.986774193548387,0.03213057243217204,0.9768817204301076,0.04166734111297519,0.9672043010752688,0.03849418980819841,0.9672043010752688,0.03849418980819841,0.0786021505376344,0.0540528649399763
Haberman,ga,10,0.7613978494623656,0.07181073130644589,0.7448387096774194,0.07242281170598193,0.6580021505376344,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Haberman,rf,10,0.7091397849462366,0.03868062762357445,0.6960215053763441,0.04871665284833103,0.6569881720430106,0.99,0.031622776601683784,0.9834408602150537,0.042264128998386934,0.9737634408602152,0.04864843800860171,0.9737634408602152,0.04864843800860171,0.9705376344086021,0.05013874456347617,0.07193548387096774,0.045918580962889706
Heart,bagging,10,0.7851851851851851,0.0815188840455268,0.7851851851851851,0.0815188840455268,0.7206296296296297,1.0,0.0,1.0,0.0,0.9962962962962963,0.011712139482105127,0.9962962962962963,0.011712139482105127,0.9962962962962963,0.011712139482105127,0.06296296296296296,0.055349411781382446
Heart,ga,10,0.8444444444444444,0.08517623857116219,0.8407407407407407,0.08911151818577082,0.7801851851851852,0.9962962962962962,0.011712139482105125,0.9925925925925926,0.015616185976140166,0.9888888888888889,0.017890588575542543,0.9851851851851852,0.025896514769633384,0.9851851851851852,0.025896514769633384,0.137037037037037,0.09410290864276298
Heart,rf,10,0.8185185185185185,0.06636879039859561,0.8185185185185185,0.06636879039859561,0.7121481481481482,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.007407407407407407,0.015616185976140142
ILPD,bagging,10,0.689362945645821,0.0545138485744661,0.689362945645821,0.0545138485744661,0.6524903565166569,0.9982758620689655,0.005452202862359286,0.9982758620689655,0.005452202862359286,0.9982758620689655,0.005452202862359286,0.9948275862068966,0.008328377440338774,0.9948275862068966,0.008328377440338774,0.049824663939216834,0.030851191225317414
ILPD,ga,10,0.7375803623611923,0.03303297283813204,0.7341028638223261,0.03577320636552745,0.6688950905902982,1.0,0.0,0.9982758620689655,0.005452202862359286,0.9982758620689655,0.005452202862359286,0.9965517241379309,0.007269603816479048,0.9965517241379309,0.007269603816479048,0.08407364114552894,0.04561693232784505
ILPD,rf,10,0.704967855055523,0.06281390793783084,0.704967855055523,0.06281390793783084,0.6555800701344243,1.0,0.0,1.0,0.0,0.9982758620689655,0.005452202862359286,0.9982758620689655,0.005452202862359286,0.9965517241379309,0.007269603816479048,0.027498538866160143,0.021804569042334684
Ionosphere,bagging,10,0.9143650793650794,0.05396883753185892,0.9143650793650794,0.05396883753185892,0.8727507936507937,0.9971428571428571,0.009035079029052515,0.9971428571428571,0.009035079029052515,0.9942857142857143,0.012046772038736688,0.9942857142857143,0.012046772038736688,0.9942857142857143,0.012046772038736688,0.3617460317460318,0.09861857625603017
Ionosphere,ga,10,0.8545238095238096,0.05813133148896788,0.8518253968253969,0.061480536651848126,0.8094611111111112,1.0,0.0,0.9971428571428571,0.009035079029052515,0.9942857142857143,0.012046772038736688,0.9942857142857143,0.012046772038736688,0.9942857142857143,0.012046772038736688,0.09976190476190476,0.06067614737412297
Ionosphere,rf,10,0.9314285714285715,0.052510661912724646,0.9314285714285715,0.052510661912724646,0.856665873015873,1.0,0.0,1.0,0.0,1.0,0.0,0.9971428571428571,0.009035079029052515,0.9971428571428571,0.009035079029052515,0.13682539682539682,0.06720118296718791
Laryngeal1,bagging,10,0.8259740259740258,0.08159149215596272,0.8259740259740258,0.08159149215596272,0.7688398268398269,0.9952380952380953,0.015058465048420872,0.9952380952380953,0.015058465048420872,0.9952380952380953,0.015058465048420872,0.9904761904761905,0.020077953397894494,0.9859307359307359,0.02266132579298617,0.21125541125541125,0.09780633549545223
Laryngeal1,ga,10,0.840909090909091,0.08542550261280699,0.8406926406926406,0.07717157686479262,0.7780216450216451,1.0,0.0,1.0,0.0,1.0,0.0,0.9952380952380953,0.015058465048420872,0.9904761904761905,0.020077953397894494,0.1406926406926407,0.07549256195975948
Laryngeal1,rf,10,0.8028138528138526,0.07630496939856465,0.8028138528138526,0.07630496939856465,0.7653030303030304,1.0,0.0,0.9952380952380953,0.015058465048420872,0.9904761904761905,0.020077953397894494,0.9811688311688311,0.024318962869504107,0.9811688311688311,0.024318962869504107,0.1318181818181818,0.07753665838096051
Laryngeal3,bagging,10,0.7282539682539684,0.0710564478739862,0.7282539682539684,0.0710564478739862,0.6349166666666666,1.0,0.0,0.9942857142857143,0.012046772038736688,0.9914285714285714,0.019284244506015805,0.9885714285714287,0.02760262237369418,0.9772222222222222,0.026237331824229472,0.02246031746031746,0.02874250662768991
Laryngeal3,ga,10,0.7196825396825397,0.061165256939970214,0.7224603174603175,0.06478300698838427,0.6542698412698412,0.9944444444444445,0.01756820922315767,0.9773015873015873,0.022273184195125147,0.9715873015873016,0.023116910139366266,0.9630952380952381,0.019147482192132526,0.9574603174603175,0.01506868646303972,0.025396825396825397,0.031095630169132516
Laryngeal3,rf,10,0.7452380952380953,0.08503881736662197,0.7452380952380953,0.08503881736662197,0.6252976190476189,1.0,0.0,1.0,0.0,0.9942857142857143,0.012046772038736688,0.9942857142857143,0.012046772038736688,0.9914285714285714,0.01380131118684709,0.002857142857142857,0.009035079029052514
Lithuanian,bagging,10,0.9675,0.015855247992033722,0.9675,0.015855247992033722,0.9557599999999999,0.994,0.0056764621219754716,0.992,0.006324555320336764,0.992,0.006324555320336764,0.992,0.006324555320336764,0.9915,0.007472170590486639,0.7865,0.051372820310614305
Lithuanian,ga,10,0.8205,0.02314807407395553,0.825,0.016666666666666642,0.7391050000000001,1.0,0.0,1.0,0.0,1.0,0.0,0.9994999999999999,0.001581138830084191,0.9985000000000002,0.003374742788552768,0.03650000000000001,0.01650757401921918
Lithuanian,rf,10,0.9695,0.01165475582469807,0.9695,0.01165475582469807,0.9475899999999999,0.9974999999999999,0.0035355339059327407,0.9964999999999999,0.003374742788552768,0.9955,0.0036893239368631127,0.9945,0.0036893239368631127,0.9945,0.0036893239368631127,0.523,0.038166302763912904
Liver,bagging,10,0.7272268907563025,0.07256383483264148,0.7272268907563025,0.07256383483264148,0.6155394957983193,1.0,0.0,1.0,0.0,1.0,0.0,0.9971428571428571,0.009035079029052515,0.9912605042016807,0.014073783621219704,0.0029411764705882353,0.009300816647554057
Liver,ga,10,0.6864705882352942,0.09873498609007332,0.6718487394957984,0.1076944298303248,0.5707235294117646,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0029411764705882353,0.009300816647554057
Liver,rf,10,0.741764705882353,0.08610431938538765,0.741764705882353,0.08610431938538765,0.6059016806722688,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Magic,bagging,10,0.8756572029442692,0.007970691406426105,0.8756572029442692,0.007970691406426105,0.8084137749737119,0.99863301787592,0.0008294538777566883,0.9974237644584647,0.0012002028509122905,0.9961619348054679,0.0013810647251907063,0.9944269190325972,0.001824663874492855,0.9924815983175606,0.002403602408130935,0.15415352260778128,0.012620243647722499
Magic,ga,10,0.7848580441640379,0.010870842177337997,0.786435331230284,0.010737229301673057,0.7075767613038907,0.9983701366982125,0.0012002028509122908,0.9958464773922188,0.0013676560122766596,0.9929022082018927,0.001407498983894964,0.9894321766561515,0.001595678883994408,0.9858044164037855,0.002132058370241213,0.02655099894847529,0.021070253921685204
Magic,rf,10,0.8799158780231335,0.004133917386860995,0.8799158780231335,0.004133917386860995,0.8023517350157728,0.9994742376445845,0.0006557408669425023,0.9986330178759202,0.0008656914851194106,0.9975289169295479,0.0011371278091488423,0.9965299684542586,0.001406407476182177,0.994794952681388,0.001556706483785651,0.09900105152471084,0.0075990395944678275
Mammo,bagging,10,0.772289156626506,0.04933387996490581,0.7807228915662651,0.04641986594955786,0.7560240963855421,0.9686746987951806,0.019007485246906382,0.96144578313253,0.018664979981722497,0.9542168674698793,0.018664979981722483,0.9530120481927711,0.01650988336634094,0.9493975903614457,0.018664979981722504,0.3421686746987952,0.07431346831306268
Mammo,ga,10,0.8313253012048193,0.0495133654856946,0.8313253012048193,0.04852628905058062,0.7651566265060241,0.9975903614457831,0.005079964112720305,0.9951807228915662,0.006221659993907517,0.9915662650602408,0.012763251873149159,0.9903614457831326,0.012443319987814993,0.9867469879518073,0.014424325298046561,0.015662650602409643,0.037265094649516606
Mammo,rf,10,0.783132530120482,0.044358879587097444,0.7939759036144579,0.045240923748237544,0.7611927710843374,0.9746987951807228,0.017459490055649913,0.9662650602409638,0.01777987439452101,0.9602409638554216,0.018005230338522,0.9566265060240962,0.014142021575629746,0.9530120481927709,0.016509883366340943,0.33253012048192765,0.051179220311884314
Monk,bagging,10,1.0,0.0,1.0,0.0,0.9988842494714586,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9698202959830867,0.041102893134537015
Monk,ga,10,0.7869978858350951,0.039398288509216776,0.7685517970401692,0.05118121230897516,0.7586775898520084,1.0,0.0,0.9976744186046511,0.007354134093414849,0.9976744186046511,0.007354134093414849,0.9953488372093023,0.014708268186829661,0.9953488372093023,0.014708268186829661,0.1273784355179704,0.05937096794983845
Monk,rf,10,0.993076109936575,0.011149450184722206,0.993076109936575,0.011149450184722206,0.9393742071881606,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.12489429175475686,0.046241266084317896
P2,bagging,10,0.9550000000000001,0.013123346456686325,0.9550000000000001,0.013123346456686325,0.9186200000000001,0.9995,0.0015811388300841912,0.999,0.002108185106778922,0.999,0.002108185106778922,0.999,0.002108185106778922,0.9984999999999999,0.003374742788552768,0.5454999999999999,0.033784447440928914
P2,ga,10,0.5325000000000001,0.03809709816887488,0.5315,0.043909629417196804,0.5082500000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
P2,rf,10,0.9560000000000001,0.004594682917363411,0.9560000000000001,0.004594682917363411,0.895755,1.0,0.0,0.9995,0.0015811388300841912,0.9995,0.0015811388300841912,0.9995,0.0015811388300841912,0.999,0.003162277660168382,0.21100000000000002,0.023428377854407437
Phoneme,bagging,10,0.8998853289518725,0.01636453922850907,0.8998853289518725,0.01636453922850907,0.8406236256589306,0.9981488327514206,0.0015120313942400601,0.9972235914287669,0.0020002300425383053,0.9964835352912986,0.0022162491487750626,0.9953734510850962,0.002507282677070486,0.9938929965085233,0.0024767328131214696,0.308295337851715,0.026924330199058495
Phoneme,ga,10,0.7577616896008762,0.022088158980829862,0.7370390908468542,0.020092988199118145,0.6942425925925926,0.9998148148148148,0.0005856069741052651,0.9996296296296296,0.0007808092988070201,0.9985188608201547,0.0019125110218200776,0.9974080920106797,0.003171840342798495,0.99648250838639,0.003540789480052379,0.011849455740398439,0.019446631921413268
Phoneme,rf,10,0.9034021359622099,0.015133279557855012,0.9034021359622099,0.015133279557855012,0.8348538645854727,0.9988892311905252,0.0015614385535891427,0.998519203121791,0.00210159031400412,0.9977788046826863,0.0017011564433680316,0.9972235914287669,0.0017988959330831264,0.9966687204764838,0.0017004134435676752,0.24703943314849047,0.03165498451331994
Segmentation,bagging,10,0.9744588744588745,0.00966918647489233,0.9744588744588745,0.00966918647489233,0.948796536796537,1.0,0.0,0.9987012987012986,0.0020911077555828745,0.9978354978354979,0.0022815856133970806,0.9974025974025974,0.0022354882229191258,0.9965367965367966,0.001825268490717664,0.732034632034632,0.02726089056526887
Segmentation,ga,10,0.8320346320346321,0.02148085895056669,0.7649350649350649,0.01767897621447825,0.7087792207792207,0.9982683982683984,0.0030268653626844234,0.9978354978354979,0.004207035999166881,0.9956709956709956,0.0049987036293474,0.993073593073593,0.005081332427607225,0.990909090909091,0.005182766232631471,0.16536796536796539,0.038276276288912794
Segmentation,rf,10,0.9783549783549782,0.007903644408443959,0.9783549783549782,0.007903644408443959,0.9296190476190475,1.0,0.0,1.0,0.0,1.0,0.0,0.9995670995670995,0.001368951368038248,0.9995670995670995,0.001368951368038248,0.44891774891774894,0.036049052691674154
Sonar,bagging,10,0.78,0.14160029123986256,0.78,0.14160029123986256,0.6868047619047619,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.009523809523809523,0.020077953397894473
Sonar,ga,10,0.7592857142857141,0.12290291793151054,0.7497619047619046,0.12226576218908754,0.6593238095238096,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0047619047619047615,0.015058465048420854
Sonar,rf,10,0.8178571428571428,0.11603190888747174,0.8178571428571428,0.11603190888747174,0.6740928571428573,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Thyroid,bagging,10,0.9610559006211181,0.024402640372889507,0.9610559006211181,0.024402640372889507,0.942189440993789,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.7197515527950311,0.05315382576540608
Thyroid,ga,10,0.9653623188405798,0.020527903617317503,0.9682401656314701,0.01896346720385164,0.9392474120082819,1.0,0.0,1.0,0.0,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.9971014492753623,0.006110681468924384,0.6879089026915114,0.05083556646619787
Thyroid,rf,10,0.9625051759834371,0.022550809372681526,0.9625051759834371,0.022550809372681526,0.9389881987577642,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.9985507246376812,0.004583011101693289,0.6200414078674947,0.05949553143518645
Vehicle,bagging,10,0.736484593837535,0.047656392690304875,0.736484593837535,0.047656392690304875,0.6745336134453781,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9988095238095237,0.0037646162621052,0.10042016806722691,0.03602801851229888
Vehicle,ga,10,0.5958823529411765,0.051210954675557585,0.554453781512605,0.04618871236254111,0.4037410364145659,1.0,0.0,0.9976470588235294,0.007440653318043254,0.9964705882352941,0.007940571267182978,0.9929411764705882,0.01264667882086047,0.991764705882353,0.0147254771415832,0.0,0.0
Vehicle,rf,10,0.7517927170868347,0.041739660710463984,0.7517927170868347,0.041739660710463984,0.6555421568627451,1.0,0.0,1.0,0.0,1.0,0.0,0.9988095238095237,0.0037646162621052,0.9976330532212885,0.004990071141497015,0.041302521008403356,0.023658318690897226
Vertebral,bagging,10,0.8466666666666667,0.06703601390665936,0.8466666666666667,0.06703601390665936,0.8001666666666667,0.9933333333333334,0.014054567378526128,0.9933333333333334,0.014054567378526128,0.9933333333333334,0.014054567378526128,0.99,0.016101529717988262,0.99,0.016101529717988262,0.33333333333333337,0.054433105395181744
Vertebral,ga,10,0.8600000000000001,0.06629526173411687,0.8600000000000001,0.07166451331820932,0.8155666666666667,0.9966666666666667,0.010540925533894595,0.99,0.016101529717988262,0.9866666666666667,0.017213259316477405,0.9866666666666667,0.017213259316477405,0.9866666666666667,0.017213259316477405,0.33666666666666667,0.0760928607478397
Vertebral,rf,10,0.8333333333333334,0.06849348892187754,0.8333333333333334,0.06849348892187754,0.7825000000000001,1.0,0.0,1.0,0.0,0.9966666666666667,0.010540925533894595,0.99,0.016101529717988262,0.99,0.016101529717988262,0.11666666666666667,0.05270462766947299
WBC,bagging,10,0.9456140350877191,0.03918565045087942,0.9456140350877191,0.03918565045087942,0.9162271303258145,0.9982456140350877,0.005547855544155068,0.9964912280701753,0.0073971407255400915,0.9947368421052631,0.011841202766851812,0.9947368421052631,0.011841202766851812,0.9947368421052631,0.011841202766851812,0.5625313283208021,0.09012581896448578
WBC,ga,10,0.9192042606516291,0.04900820464149213,0.9139411027568922,0.04630567683016002,0.8301838972431078,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.11071428571428572,0.05549274563253155
WBC,rf,10,0.9543859649122807,0.028886757977142616,0.9543859649122807,0.028886757977142616,0.9170479323308272,0.9982456140350877,0.005547855544155068,0.9964912280701753,0.0073971407255400915,0.9964912280701753,0.0073971407255400915,0.9964912280701753,0.0073971407255400915,0.9964912280701753,0.0073971407255400915,0.4095238095238095,0.05873200066987555
WDVG,bagging,10,0.8379999999999999,0.01627540748764495,0.8379999999999999,0.01627540748764495,0.741992,0.9994,0.001349897115421107,0.9991999999999999,0.0013984117975602032,0.999,0.0014142135623730961,0.9987999999999999,0.0013984117975602032,0.9978,0.0011352924243950944,0.06700000000000002,0.011205157542647741
WDVG,ga,10,0.8658000000000001,0.010932113753117981,0.8684,0.012249263016379587,0.80671,0.9996,0.0008432740427115685,0.9987999999999999,0.0013984117975602032,0.9982,0.0019888578520235083,0.9970000000000001,0.003162277660168382,0.9964000000000001,0.0032386554137309675,0.2204,0.035097325000948754
WDVG,rf,10,0.8492000000000001,0.015866106432686433,0.8492000000000001,0.015866106432686433,0.725204,1.0,0.0,1.0,0.0,0.9998000000000001,0.0006324555320336763,0.9998000000000001,0.0006324555320336763,0.9996,0.0008432740427115685,0.0162,0.003705851229249945
Weaning,bagging,10,0.8805376344086021,0.05297740814070771,0.8805376344086021,0.05297740814070771,0.7772322580645161,0.9934408602150537,0.013830203221183888,0.9901075268817203,0.01593108319045271,0.9868817204301076,0.01693941848056421,0.9868817204301076,0.01693941848056421,0.9835483870967743,0.01734596691776877,0.07247311827956988,0.050549580428012254
Weaning,ga,10,0.8211827956989246,0.06487762126643035,0.8278494623655913,0.069523795570934,0.7686720430107528,0.9967741935483871,0.010200895677962505,0.9967741935483871,0.010200895677962505,0.9967741935483871,0.010200895677962505,0.9867741935483872,0.023206605187429435,0.9867741935483872,0.023206605187429435,0.13870967741935486,0.056807491773932475
Weaning,rf,10,0.903978494623656,0.055417912504892926,0.903978494623656,0.055417912504892926,0.7611129032258064,1.0,0.0,1.0,0.0,0.9966666666666667,0.010540925533894595,0.9966666666666667,0.010540925533894595,0.9966666666666667,0.010540925533894595,0.00967741935483871,0.030602687033887545
